0,2000,1900,1800,1700,1600,1500,1400,1300,1200,1100,1000,950,900,850,800,750,700,650,600,550,500,450,400,350,300,250,200,150,100,50
1500,74500,71400,68300,65100,61900,58800,55600,52400,49300,46100,42900,41400,39800,38100,36600,35000,33400,31900,30300,28600,27100,25500,23900,22400,20800,19100,17100,15100,12900,11400
1400,69700,66700,63700,60800,57800,54900,51900,49000,46000,43100,40100,38700,37200,35800,34200,32700,31300,29800,28400,26800,25400,23900,22400,20900,19500,18000,16100,14200,12200,10800
1300,64700,62000,59200,56500,53800,51100,48300,45600,42800,40100,37400,36000,34600,33300,31900,30500,29100,27800,26500,25000,23700,22300,20900,19600,18200,16900,15100,13300,11500,10300
1200,59800,57200,54800,52200,49700,47200,44700,42100,39700,37100,34600,33300,32100,30800,29600,28300,27000,25800,24500,23200,22000,20800,19400,18200,17000,15600,14100,12600,11000,9700
1100,54900,52600,50200,47900,45600,43400,41000,38700,36400,34200,31800,30600,29500,28400,27200,26100,24900,23700,22600,21400,20300,19100,18000,16800,15600,14500,13200,11700,10300,9300
1000,49900,47800,45700,43700,41600,39500,37400,35300,33200,31100,29000,28000,26900,25900,24800,23800,22800,21700,20700,19600,18600,17500,16500,15400,14400,13300,12100,10900,9600,8800
950,47500,45500,43500,41500,39500,37500,35500,33500,31600,29600,27600,26600,25600,24600,23600,22700,21600,20700,19600,18700,17600,16700,15600,14700,13700,12700,11500,10400,9200,8300
900,44900,43000,41200,39300,37400,35500,33700,31800,29900,28000,26200,25200,24300,23300,22400,21400,20500,19600,18700,17700,16800,15800,14900,13900,13000,12000,11000,9900,8800,7900
850,42400,40600,38800,37100,35300,33600,31800,30000,28300,26500,24700,23800,22900,22100,21100,20300,19400,18500,17600,16800,15800,15000,14100,13200,12300,11400,10400,9400,8300,7600
800,39900,38200,36500,34900,33200,31600,29900,28300,26600,24900,23200,22500,21600,20800,19900,19000,18300,17400,16600,15800,15000,14100,13300,12400,11600,10800,9800,8900,7800,7200
750,37400,35800,34200,32700,31100,29600,28100,26500,24900,23300,21800,21000,20300,19500,18700,17900,17100,16400,15600,14800,14000,13300,12500,11700,11000,10100,9300,8300,7400,6800
700,34800,33400,32000,30500,29000,27600,26200,24700,23200,21800,20400,19600,19000,18200,17400,16800,16000,15300,14600,13800,13200,12400,11600,11000,10200,9500,8700,7800,7000,6300
650,32300,31000,29700,28400,26900,25600,24300,22900,21600,20300,19000,18300,17600,17000,16200,15500,14900,14200,13500,12900,12200,11500,10900,10200,9500,8900,8100,7300,6500,5900
600,29800,28500,27300,26100,24800,23600,22400,21100,19900,18700,17400,16900,16200,15600,15100,14400,13800,13200,12600,11900,11400,10700,10100,9500,8900,8200,7500,6800,6000,5600
550,27300,26200,25000,23900,22800,21700,20600,19400,18300,17100,16000,15400,15000,14300,13800,13300,12700,12100,11500,11000,10400,9800,9300,8700,8100,7600,7000,6300,5700,5100
500,24700,23800,22800,21700,20700,19700,18700,17600,16700,15600,14600,14100,13500,13100,12600,12000,11500,11100,10500,10000,9500,9000,8500,7900,7500,7000,6300,5700,5200,4700
450,22300,21300,20500,19500,18700,17700,16800,15900,15000,14100,13200,12700,12200,11800,11400,10900,10400,9900,9500,9100,8600,8100,7600,7300,6800,6300,5700,5300,4700,4300
400,19700,19000,18100,17300,16600,15700,15000,14100,13300,12500,11700,11400,10900,10500,10100,9700,9300,8900,8500,8100,7600,7300,6900,6500,6100,5700,5300,4700,4200,3900
350,17200,16500,15800,15200,14400,13700,13100,12300,11600,11000,10200,9900,9500,9200,8900,8500,8100,7800,7500,7100,6700,6400,6000,5700,5400,5000,4600,4200,3800,3500
300,14700,14100,13500,13000,12400,11700,11200,10600,10000,9500,8800,8500,8200,7900,7600,7400,7100,6800,6400,6100,5800,5600,5300,5000,4700,4400,4000,3800,3400,3100
250,12200,11700,11300,10800,10300,9800,9400,8800,8300,7800,7400,7200,6900,6700,6400,6200,5900,5700,5500,5200,5000,4700,4500,4200,4000,3800,3500,3200,2900,2700
200,9900,9500,9200,8800,8400,8000,7600,7300,6900,6500,6100,5900,5700,5600,5300,5100,4900,4700,4500,4300,4100,3900,3800,3600,3400,3200,3000,2700,2500,2300
180,9500,9100,8700,8300,7900,7600,7300,6900,6500,6100,5700,5700,5500,5300,5100,4900,4700,4500,4300,4100,3900,3800,3600,3400,3300,3100,2800,2600,2400,2200
160,8400,8100,7700,7500,7200,6800,6500,6100,5800,5600,5200,5100,4900,4700,4600,4400,4200,4100,3900,3800,3600,3500,3300,3100,3000,2800,2600,2400,2200,2100
140,7500,7200,6900,6600,6300,6000,5700,5500,5200,4900,4600,4500,4300,4200,4100,3900,3800,3700,3600,3400,3300,3100,3000,2800,2700,2500,2300,2200,2000,1900
120,6300,6100,5800,5700,5400,5200,5000,4700,4500,4200,4000,3900,3800,3700,3600,3500,3400,3200,3100,3000,2800,2700,2600,2500,2400,2200,2100,1900,1900,1800
100,5400,5200,5000,4800,4600,4400,4200,4000,3800,3700,3500,3400,3300,3200,3100,3000,2900,2800,2700,2600,2500,2400,2300,2200,2100,2000,1900,1800,1700,1600
80,4400,4200,4100,3900,3800,3700,3500,3400,3200,3100,2900,2800,2800,2700,2600,2500,2400,2400,2300,2200,2100,2000,1900,1900,1900,1800,1700,1600,1500,1400
60,3300,3200,3000,2900,2800,2700,2600,2500,2400,2300,2200,2200,2100,2100,2000,2000,1900,1900,1900,1800,1800,1700,1700,1600,1600,1500,1400,1400,1300,1300
40,2600,2600,2500,2400,2300,2200,2200,2100,2000,1900,1900,1900,1900,1800,1800,1700,1700,1700,1600,1600,1500,1500,1500,1400,1400,1400,1300,1300,1200,1200
30,1900,1900,1900,1900,1800,1800,1700,1700,1600,1600,1500,1500,1500,1500,1400,1400,1400,1400,1300,1300,1300,1300,1200,1200,1200,1200,1200,1100,1100,1100
20,1700,1600,1600,1600,1500,1500,1500,1400,1400,1400,1300,1300,1300,1300,1300,1200,1200,1200,1200,1200,1200,1100,1100,1100,1100,1100,1100,1000,1000,1000
10,1100,1100,1100,1100,1100,1100,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,900,900,900,900
